Day,Sales,Trading Profit,Operating Expense,Net Profit
11,2193914,935368,959683,-20205
12,2524557,1151732,1017526,138316
13,2808856,1284855,1102653,186312
14,3103713,1465354,1160664,307772
15,3402435,1021348,1263473,-239043
16,4439583,1916539,1373886,544708
17,4736613,1499639,1430751,72484
18,5252063,1140666,1522699,-379465
19,5572082,1350820,1599029,-245641
20,6475075,1761452,1744514,20277
21,7696466,2856353,1842805,1014832
22,8017087,3070363,2008458,1063575
23,8792985,3741355,2122100,1620603
24,9136869,3618824,2247432,1373094
25,9462200,3810782,2322220,1490264
26,9785499,3994121,2377830,1619799
27,10121151,2869418,2520140,353087
28,10954818,2864969,2631071,238008
29,11400559,2557433,2733748,-173233
30,12850728,2493818,2964835,-468962
31,13890389,3080921,3064015,21016
32,15361978,3216651,3212488,6731
33,18401873,5816360,3277015,2540372
34,21785080,7902531,3392807,4510495
35,24881943,8926859,3633015,5293844
36,27045004,10758931,3744741,7014190
37,27655174,10226796,3952762,6275061
38,29270724,10280068,4223595,6056473
39,31539319,10968873,4455360,6513513
40,33083335,11786215,4633386,7152829
41,34585418,11670190,4841376,6828814
42,38043445,15046380,4962246,10084134
43,39774545,16438484,5073752,11364732
44,44731361,19949925,5387416,14562509
45,49257830,24167149,5524320,18642829
46,51151731,25992185,5584301,20407884
47,52294582,27066463,5644112,21422351
48,54553939,28648120,5859682,22788438
49,55389866,29023168,5969533,23053635
50,56201784,27862964,6163853,21699111
51,57021592,28617232,6313244,22303988
52,60446051,31134867,6473655,24661212
53,62529329,32893979,6589611,26304368
54,67061894,36285128,6711646,29573482
55,68951526,37291718,6854664,30437054
56,69792161,38066799,7089404,30977395
57,71353186,39326467,7171874,32154593
58,73056769,38371216,7394829,30976387
59,75067410,39995607,7605314,32390293
60,76371583,38888404,7818667,31069737
61,79965139,41722247,7978608,33743639
62,81311513,42814134,8110156,34703978
63,83419839,43831942,8266972,35564970
64,86206617,45222540,8580584,36641956
65,90962750,49410193,8697543,40712650
66,92888108,48963984,8946646,40017338
67,94405880,50420321,9081423,41338898
68,95313563,49653678,9288699,40364979
69,100472693,53937680,9465328,44472352
70,105332991,57237463,9678695,47558768
71,109394934,60745815,9777893,50967922
72,115455257,66526606,9886498,56640108
73,117412782,65096799,10154164,54942635
74,118672228,65755129,10289169,55465960
75,121191751,67423164,10464550,56958614
76,124379697,69530303,10607120,58923183
77,126228888,71272275,10850763,60421512
78,128810480,72355901,11160186,61195715
79,130785538,74229041,11234426,62994615
80,132860599,74932580,11400346,63532234
81,133943869,71916960,11760290,60156670
82,136247090,73690970,11889745,61801225
83,138558601,75765007,12019025,63745982
84,143832377,79591400,12270899,67320501
85,152847147,85977013,12672755,73304258
86,154437096,86855542,12794320,74061222
87,155273883,87641353,12910392,74730961
88,156289695,87861744,13051028,74810716
89,157159505,87937206,13235775,74701431
90,158773646,89500797,13345954,76154843
